case_id, setup, solution
Diag3, R F U' R2 U' R U' R' U2 R2 U F' R' U2, U2 R F U' R2 U2 R U R' U R2 U F' R'
Diag4, U F' R U F2 U R' U' R F2 U' R' F U', R' U R U F R' U R U' F' U' R' U' R
Diag5, U L' D' B2 U' B2 U L U2 L' D L2 U L', F U R' U' R2 U' R2 U2 R U2 R U R' F'
Diag6, U B U B2 L2 B2 U' B' U' R2 F' D2 F R2 U', U R' U' R' D' R U R' D R U2 R' D' R U2 R' D R2
Diag7, R L' U R' U R U L U R' U L' U L, R U R' U L' U2 R U2 R' U2 L U' R U' R' U2
Diag8, R U R' U L' U R U L U L' U L R', R2 D' R U R' D R U R U' R' U R U R' U R
Diag9, U' R' B U R2 B' U B U' R2 U' B' R U2, U2 R U2 R' U R' D' R U R' D R2 U' R' U R U' R'
Diag10, R F U' R2 U2 R U R' U R2 U F' R', R2 D R' U2 R D' R2 U' R U R D R' U2 R D' R2
Diag11, U' B R' U' B2 U' R U R' B2 U R B' U, R F' U' R2 F U' F' U R2 U F R'
Diag12, R' L D F D' R L' U F U' R U' R' F' U', U R U2 R' U' F' R U2 R' U' R U' R' F R U' R'
Pure1, R' U2 R2 U R2 U R2 U2 R', R U2 R2 U' R2 U' R2 U2 R
Pure2, L U F U' F' L2 B' U' B U L U', U' R' U2 R U R' U R2 U R' U R U2 R' U2
Pure3, F R2 F' B' R B2 U' B2 D' R2 D R' B U, U' R U2 R' U2 R U' R' U2 R U' R' U2 R U R'
Pure4, B' R2 F B R' F2 U F2 D R2 D' R F' U', U2 R U R' U' R2 U R' U R U2 R2 U' R U R'
Pure5, B' R D' R2 D B2 U B2 R' F B R2 F' U2, U' Rw U2 R2 F R F' R' F R F' R U2 Rw' U2
Pure6, F R' D R2 D' F2 U' F2 R F' B' R2 B U2, R U2 R2 U' R2 U R2 U2 R S R2 S' U
Pure7, R' U' F' U F R2 B U B' U' R' U', U R U2 R' U' R U' R2 U' R U' R' U2 R
Pure8, R U2 R2 U' R2 U' R2 U2 R, R' U2 R2 U R2 U R2 U2 R'
Pure9, U2 B' U' R' U R F' B L' U' L U F, R' U' R U R U2 R' U' R U' R2 U2 R
Pure10, U2 F U R U' R' F' B L U L' U' B', R U R' U' R' U2 R U R' U R2 U2 R'
Pure11, L B' D2 B L' U L B' D2 B L' U', U R U R' U R U2 R' U R U R' U R U2 R'
Pure12, R L' D L2 U2 L D' L2 U2 R' U R2 B2 R2, R U R2 U' R2 U' R2 U2 R2 U' R' U R U2 R'
