case_id, setup, solution
56, L' U' L U' L' R U' R' U2' L R U' R' y', y U2 R' U2 R F U' R' U R U R' U R U' F' U'
57, F' U L U' L' U' F L U2' L', U2 R2 D R' U' R D' R' U' R' U R U R' U
58, R B' R2' F R2' B R2' F' R F U R U' R' F' y', y U' M' U R' U' F' U F R2 U R' U R U2 r' U2
59, R' U2' R U L U2' R' U' R U2' L', U2 R' U R U R' U' R' D' R U' R' D R2
60, R U R' U L' U R U' R' L U' R U' R' y2, y2 R' U' R U' F U' R' U R U R' U R U' F' U
61, R U R' U R U2' R' U' R U2' R' U' R U' R' y2, y2 U R' U' R U R' U R U2 R' U R U2 R' U' R U'
62, R U' R' U2' R U R' U2' R U R' U R U' R' y, y' R U R' U' R U' R' U2 R U' R' U2 R U R'
63, R U2' R' U' R U' R' U R U R' U R U2' R' y', y R U2 R' U' R U' R' U' R U R' U R U2 R'
64, R U R' U R U' R' U R' U' R2' U' R2' U2' R y', y R' U2 R2 U R2 U R U' R U R' U' R U' R'
65, R' U2' R U R' U R U' R' U' R U' R' U2' R y', y R' U2 R U R' U R U R' U' R U' R' U2 R
66, R' U' R U' R' U R U' R U R2' U R2' U2' R' y', y R U2 R2 U' R2 U' R' U R' U' R U R' U R
67, R U R2' U' R2' U' R2' U2' R U' R U' R' y2, y2 R U R' U R' U2 R2 U R2 U R2 U' R'
68, R' U' R2' U R2' U R2' U2' R' U R' U R, R' U' R U' R U2 R2 U' R2 U' R2 U R
69, R U2' R' U' R U' R2' U2' R U R' U R, R' U' R U' R' U2 R2 U R' U R U2 R'
70, R' U2' R U R' U R2' U2' R' U' R U' R' y2, y2 R U R' U R U2 R2 U' R U' R' U2 R
71, R2' U R2' U R U' R' U R2' U2' R' U R' U R U' R', R U R' U' R U' R U2 R2 U' R U R' U' R2 U' R2
72, R' U' R U' R' U2' R U2' R U R' U R U2' R' y', y R U2 R' U' R U' R' U2 R' U2 R U R' U R
